ticker,date,sentiment,news_count
META,2025-01-17,0.6013,12
META,2025-01-18,0.7725,11
META,2025-01-19,0.7479,16
META,2025-01-20,0.7987,9
META,2025-01-21,0.9333,4
META,2025-01-22,0.4313,15
META,2025-01-23,0.7533,12
META,2025-01-24,0.5777,17
META,2025-01-25,0.5312,5
META,2025-01-26,0.7419,14
META,2025-01-27,0.6033,23
META,2025-01-28,0.4601,25
META,2025-01-29,0.762,33
META,2025-01-30,0.6504,31
META,2025-01-31,0.5488,29
META,2025-02-01,0.5926,10
META,2025-02-02,0.6946,8
META,2025-02-03,0.5526,26
META,2025-02-04,0.6585,20
META,2025-02-05,0.5987,26
META,2025-02-06,0.662,20
META,2025-02-07,0.5013,18
META,2025-02-08,0.617,18
META,2025-02-09,0.7509,12
META,2025-02-10,0.5171,21
META,2025-02-11,0.7406,24
META,2025-02-12,0.6049,7
META,2025-02-13,0.4035,21
META,2025-02-14,0.7628,26
META,2025-02-15,0.3268,8
META,2025-02-16,0.5879,9
META,2025-02-17,0.5615,10
META,2025-02-18,0.5519,24
META,2025-02-19,0.6856,30
META,2025-02-20,0.7091,19
META,2025-02-21,0.9927,3
META,2025-02-22,0.4375,4
META,2025-02-23,0.8833,9
META,2025-02-24,0.6949,17
META,2025-02-25,0.7531,9
META,2025-02-26,0.7282,15
META,2025-02-27,0.4539,24
META,2025-02-28,0.5747,10
META,2025-03-01,0.9438,6
META,2025-03-02,0.8313,6
META,2025-03-03,0.6006,11
META,2025-03-04,0.992,2
META,2025-03-05,0.2471,13
META,2025-03-06,0.6745,2
META,2025-03-07,0.6934,9
META,2025-03-08,0.9905,2
META,2025-03-09,0.7512,6
META,2025-03-10,0.8486,5
META,2025-03-11,0.9154,7
META,2025-03-12,0.4498,15
META,2025-03-13,0.2377,14
META,2025-03-14,0.3828,8
META,2025-03-15,0.873,6
MSFT,2021-06-01,0.6843,10
MSFT,2021-06-02,0.8057,19
MSFT,2021-06-03,0.6356,16
MSFT,2021-06-04,0.5559,27
MSFT,2021-06-05,0.899,6
MSFT,2021-06-06,0.412,1
MSFT,2021-06-07,0.6753,30
MSFT,2021-06-08,0.4598,19
MSFT,2021-06-09,0.6191,22
MSFT,2021-06-10,0.8081,28
MSFT,2021-06-11,0.6757,19
MSFT,2021-06-12,0.4632,5
MSFT,2021-06-13,0.8293,6
MSFT,2021-06-14,0.5899,42
MSFT,2021-06-15,0.5995,21
MSFT,2021-06-16,0.6548,24
MSFT,2021-06-17,0.4607,25
MSFT,2021-06-18,0.7784,18
MSFT,2021-06-19,0.654,6
MSFT,2021-06-20,0.7073,4
MSFT,2021-06-21,0.6414,25
MSFT,2021-06-22,0.528,42
MSFT,2021-06-23,0.5689,39
MSFT,2021-06-24,0.6912,29
MSFT,2021-06-25,0.2574,31
MSFT,2021-06-26,0.7003,10
MSFT,2021-06-27,0.198,3
MSFT,2021-06-28,0.6218,24
MSFT,2021-06-29,0.7512,22
MSFT,2021-06-30,0.6737,38
MSFT,2021-07-01,0.8023,21
MSFT,2021-07-02,0.6423,15
MSFT,2021-07-03,-0.4806,5
MSFT,2021-07-05,0.1638,4
MSFT,2021-07-06,0.4372,37
MSFT,2021-07-07,0.4718,32
MSFT,2021-07-08,0.5738,12
MSFT,2021-07-09,0.6139,16
MSFT,2021-07-10,0.561,3
MSFT,2021-07-11,0.005,3
MSFT,2021-07-12,0.3972,17
MSFT,2021-07-13,0.471,20
MSFT,2021-07-14,0.8043,22
MSFT,2021-07-15,0.5859,15
MSFT,2021-07-16,0.761,15
MSFT,2021-07-17,0.5993,3
MSFT,2021-07-18,0.8445,4
MSFT,2021-07-19,0.1527,26
MSFT,2021-07-20,0.8071,21
MSFT,2021-07-21,0.6224,9
MSFT,2021-07-22,0.4388,18
MSFT,2021-07-23,0.5237,17
MSFT,2021-07-24,0.4515,2
MSFT,2021-07-25,0.785,4
MSFT,2021-07-26,0.3599,32
MSFT,2021-07-27,0.3572,48
MSFT,2021-07-28,0.4136,44
MSFT,2021-07-29,0.4978,17
MSFT,2021-07-30,0.8272,17
MSFT,2021-07-31,0.4528,4
MSFT,2021-08-01,0.687,2
MSFT,2021-08-02,0.6325,17
MSFT,2021-08-03,0.6824,20
MSFT,2021-08-04,0.596,13
MSFT,2021-08-05,0.4761,12
MSFT,2021-08-06,0.6789,15
MSFT,2021-08-07,0.6163,3
MSFT,2021-08-08,0.4455,2
MSFT,2021-08-09,0.4288,6
MSFT,2021-08-10,0.7439,12
MSFT,2021-08-11,0.7058,9
MSFT,2021-08-12,0.9093,7
MSFT,2021-08-13,0.1779,8
MSFT,2021-08-14,0.3713,4
MSFT,2021-08-15,0.0,1
MSFT,2021-08-16,0.4626,15
MSFT,2021-08-17,0.3363,9
MSFT,2021-08-18,0.9905,2
MSFT,2021-08-19,0.8034,14
MSFT,2021-08-20,0.389,34
MSFT,2021-08-21,0.8515,4
MSFT,2021-08-23,0.9145,11
MSFT,2021-08-24,0.6007,16
MSFT,2021-08-25,0.6611,23
MSFT,2021-08-26,0.4505,13
MSFT,2021-08-27,0.5109,17
MSFT,2021-08-28,0.7363,4
MSFT,2021-08-30,0.8188,11
MSFT,2021-08-31,0.7532,16
MSFT,2021-09-01,0.8974,12
MSFT,2021-09-02,0.94,7
MSFT,2021-09-03,0.59,4
MSFT,2021-09-04,0.3007,3
MSFT,2021-09-05,-0.142,2
MSFT,2021-09-07,0.6119,7
MSFT,2021-09-08,0.536,20
MSFT,2021-09-09,0.7491,19
MSFT,2021-09-10,0.6596,13
MSFT,2021-09-11,-0.202,1
MSFT,2021-09-12,0.511,1
MSFT,2021-09-13,0.5248,11
MSFT,2021-09-14,0.6551,25
MSFT,2021-09-15,0.4943,54
MSFT,2021-09-16,0.4767,22
MSFT,2021-09-17,0.5151,22
MSFT,2021-09-18,0.5613,6
MSFT,2021-09-19,0.459,1
MSFT,2021-09-20,0.2635,16
MSFT,2021-09-21,0.644,21
MSFT,2021-09-22,0.379,12
MSFT,2021-09-23,0.658,14
MSFT,2021-09-24,0.421,11
MSFT,2021-09-25,0.6637,3
MSFT,2021-09-26,0.2937,6
MSFT,2021-09-27,0.5059,15
MSFT,2021-09-28,0.4651,24
MSFT,2021-09-29,0.4499,17
MSFT,2021-09-30,0.5972,14
MSFT,2021-10-01,0.7356,13
MSFT,2021-10-02,0.3,2
MSFT,2021-10-03,0.8073,3
MSFT,2021-10-04,0.5038,27
MSFT,2021-10-05,0.5634,21
MSFT,2021-10-06,0.472,26
MSFT,2021-10-07,0.5205,22
MSFT,2021-10-08,0.4843,21
MSFT,2021-10-09,0.593,2
MSFT,2021-10-11,0.493,12
MSFT,2021-10-12,0.4234,19
MSFT,2021-10-13,0.881,12
MSFT,2021-10-14,0.6418,37
MSFT,2021-10-15,0.5037,15
MSFT,2021-10-17,0.8875,2
MSFT,2021-10-18,0.4548,24
MSFT,2021-10-19,0.3732,15
MSFT,2021-10-20,0.7291,27
MSFT,2021-10-21,0.5489,21
MSFT,2021-10-22,0.5099,16
MSFT,2021-10-23,0.351,2
MSFT,2021-10-24,0.5848,9
MSFT,2021-10-25,0.5795,39
MSFT,2021-10-26,0.7096,45
MSFT,2021-10-27,0.6023,64
MSFT,2021-10-28,0.7867,34
MSFT,2021-10-29,0.4771,36
MSFT,2021-10-30,0.2753,6
MSFT,2021-10-31,0.7012,5
MSFT,2021-11-01,0.3933,27
MSFT,2021-11-02,0.6243,27
MSFT,2021-11-03,0.7974,20
MSFT,2021-11-04,0.7343,13
MSFT,2021-11-05,0.7263,19
MSFT,2021-11-06,0.2687,6
MSFT,2021-11-07,0.5527,3
MSFT,2021-11-08,0.6514,19
MSFT,2021-11-09,0.7623,11
MSFT,2021-11-10,0.6231,15
MSFT,2021-11-11,0.5408,15
MSFT,2021-11-12,0.7031,15
MSFT,2021-11-13,0.2875,2
MSFT,2021-11-14,0.999,2
MSFT,2021-11-15,0.6997,15
MSFT,2021-11-16,0.598,26
MSFT,2021-11-17,0.8019,27
MSFT,2021-11-18,0.321,13
MSFT,2021-11-19,0.6005,27
MSFT,2021-11-20,0.9998,4
MSFT,2021-11-21,0.8673,6
MSFT,2021-11-22,0.4959,18
MSFT,2021-11-23,0.5956,25
MSFT,2021-11-24,0.4349,10
MSFT,2021-11-25,0.7994,5
MSFT,2021-11-26,0.8231,14
MSFT,2021-11-27,0.9985,2
MSFT,2021-11-28,0.999,2
MSFT,2021-11-29,0.7086,18
MSFT,2021-11-30,0.5331,32
MSFT,2021-12-01,0.4189,20
MSFT,2021-12-02,0.424,21
MSFT,2021-12-03,0.4062,26
MSFT,2021-12-04,0.4092,5
MSFT,2021-12-05,0.6913,3
MSFT,2021-12-06,0.625,36
MSFT,2021-12-07,0.5268,29
MSFT,2021-12-08,0.5709,15
MSFT,2021-12-09,0.7532,17
MSFT,2021-12-10,0.6336,31
MSFT,2021-12-11,0.4734,9
MSFT,2021-12-12,0.8885,4
MSFT,2021-12-13,0.6381,24
MSFT,2021-12-14,0.3773,28
MSFT,2021-12-15,0.5128,17
MSFT,2021-12-16,0.5069,18
MSFT,2021-12-17,0.6117,23
MSFT,2021-12-18,0.7976,5
MSFT,2021-12-19,0.4213,6
MSFT,2021-12-20,0.2819,28
MSFT,2021-12-21,0.615,33
MSFT,2021-12-22,0.6484,23
MSFT,2021-12-23,0.7564,19
MSFT,2021-12-24,0.8943,9
MSFT,2021-12-26,0.866,1
MSFT,2021-12-27,0.6042,18
