ticker,collect_date
GOOGL,2022-04-26
GOOGL,2022-04-27
GOOGL,2022-05-18
GOOGL,2022-05-19
GOOGL,2022-05-20
GOOGL,2022-05-21
GOOGL,2022-05-22
GOOGL,2022-05-23
GOOGL,2022-05-24
GOOGL,2022-06-13
GOOGL,2022-06-14
GOOGL,2022-06-15
GOOGL,2022-06-16
GOOGL,2022-06-17
GOOGL,2022-06-18
GOOGL,2022-06-19
GOOGL,2022-06-20
GOOGL,2022-06-21
GOOGL,2022-06-22
GOOGL,2022-06-23
GOOGL,2022-06-24
GOOGL,2022-06-25
GOOGL,2022-06-26
GOOGL,2022-06-27
GOOGL,2022-06-28
GOOGL,2022-07-13
GOOGL,2022-07-14
GOOGL,2022-07-15
GOOGL,2022-07-16
GOOGL,2022-07-17
GOOGL,2022-07-18
GOOGL,2022-07-19
GOOGL,2022-07-20
GOOGL,2022-07-21
GOOGL,2022-07-22
GOOGL,2022-07-23
GOOGL,2022-07-24
GOOGL,2022-07-25
GOOGL,2022-07-26
GOOGL,2022-07-27
GOOGL,2022-08-17
GOOGL,2022-08-18
GOOGL,2022-08-19
GOOGL,2022-08-20
GOOGL,2022-08-21
GOOGL,2022-08-22
GOOGL,2022-08-23
GOOGL,2022-09-12
GOOGL,2022-09-13
GOOGL,2022-09-14
GOOGL,2022-09-15
GOOGL,2022-09-16
GOOGL,2022-09-17
GOOGL,2022-09-18
GOOGL,2022-09-19
GOOGL,2022-09-20
GOOGL,2022-09-21
GOOGL,2022-09-22
GOOGL,2022-09-23
GOOGL,2022-09-24
GOOGL,2022-09-25
GOOGL,2022-09-26
GOOGL,2022-09-27
GOOGL,2022-10-10
GOOGL,2022-10-11
GOOGL,2022-10-12
GOOGL,2022-10-13
GOOGL,2022-10-14
GOOGL,2022-10-15
GOOGL,2022-10-16
GOOGL,2022-10-17
GOOGL,2022-10-18
GOOGL,2022-10-19
GOOGL,2022-10-20
GOOGL,2022-10-21
GOOGL,2022-10-22
GOOGL,2022-10-23
GOOGL,2022-10-24
GOOGL,2022-10-25
GOOGL,2022-10-26
GOOGL,2022-11-09
GOOGL,2022-11-10
GOOGL,2022-11-11
GOOGL,2022-11-12
GOOGL,2022-11-13
GOOGL,2022-11-14
GOOGL,2022-11-15
GOOGL,2022-12-18
GOOGL,2022-12-19
GOOGL,2022-12-20
GOOGL,2022-12-21
GOOGL,2022-12-22
GOOGL,2022-12-23
GOOGL,2022-12-24
GOOGL,2022-12-25
GOOGL,2022-12-26
GOOGL,2022-12-27
GOOGL,2022-12-28
GOOGL,2022-12-29
GOOGL,2022-12-30
GOOGL,2022-12-31
GOOGL,2023-01-01
GOOGL,2023-01-02
GOOGL,2023-01-03
GOOGL,2023-01-16
GOOGL,2023-01-17
GOOGL,2023-01-18
