ticker,company,collect_date,window_type,earnings_date,offset_from_ed,source_event_ticker
AMZN,Amazon,2023-04-04,quiet_spillover,2023-05-04,-30,AAPL
NVDA,NVIDIA,2023-04-04,quiet_spillover,2023-05-04,-30,AAPL
META,Meta,2023-04-04,quiet_spillover,2023-05-04,-30,AAPL
TSLA,Tesla,2023-04-04,quiet_spillover,2023-05-04,-30,AAPL
MSFT,Microsoft,2023-04-03,quiet_spillover,2023-05-04,-31,AAPL
GOOGL,Alphabet,2023-04-03,quiet_spillover,2023-05-04,-31,AAPL
AMZN,Amazon,2023-04-03,quiet_spillover,2023-05-04,-31,AAPL
NVDA,NVIDIA,2023-04-03,quiet_spillover,2023-05-04,-31,AAPL
META,Meta,2023-04-03,quiet_spillover,2023-05-04,-31,AAPL
TSLA,Tesla,2023-04-03,quiet_spillover,2023-05-04,-31,AAPL
MSFT,Microsoft,2023-04-02,quiet_spillover,2023-05-04,-32,AAPL
GOOGL,Alphabet,2023-04-02,quiet_spillover,2023-05-04,-32,AAPL
AMZN,Amazon,2023-04-02,quiet_spillover,2023-05-04,-32,AAPL
NVDA,NVIDIA,2023-04-02,quiet_spillover,2023-05-04,-32,AAPL
META,Meta,2023-04-02,quiet_spillover,2023-05-04,-32,AAPL
TSLA,Tesla,2023-04-02,quiet_spillover,2023-05-04,-32,AAPL
MSFT,Microsoft,2023-04-01,quiet_spillover,2023-05-04,-33,AAPL
GOOGL,Alphabet,2023-04-01,quiet_spillover,2023-05-04,-33,AAPL
AMZN,Amazon,2023-04-01,quiet_spillover,2023-05-04,-33,AAPL
NVDA,NVIDIA,2023-04-01,quiet_spillover,2023-05-04,-33,AAPL
META,Meta,2023-04-01,quiet_spillover,2023-05-04,-33,AAPL
TSLA,Tesla,2023-04-01,quiet_spillover,2023-05-04,-33,AAPL
MSFT,Microsoft,2023-03-31,quiet_spillover,2023-05-04,-34,AAPL
GOOGL,Alphabet,2023-03-31,quiet_spillover,2023-05-04,-34,AAPL
AMZN,Amazon,2023-03-31,quiet_spillover,2023-05-04,-34,AAPL
NVDA,NVIDIA,2023-03-31,quiet_spillover,2023-05-04,-34,AAPL
META,Meta,2023-03-31,quiet_spillover,2023-05-04,-34,AAPL
TSLA,Tesla,2023-03-31,quiet_spillover,2023-05-04,-34,AAPL
MSFT,Microsoft,2023-03-30,quiet_spillover,2023-05-04,-35,AAPL
GOOGL,Alphabet,2023-03-30,quiet_spillover,2023-05-04,-35,AAPL
AMZN,Amazon,2023-03-30,quiet_spillover,2023-05-04,-35,AAPL
NVDA,NVIDIA,2023-03-30,quiet_spillover,2023-05-04,-35,AAPL
META,Meta,2023-03-30,quiet_spillover,2023-05-04,-35,AAPL
TSLA,Tesla,2023-03-30,quiet_spillover,2023-05-04,-35,AAPL
MSFT,Microsoft,2023-03-29,quiet_spillover,2023-05-04,-36,AAPL
GOOGL,Alphabet,2023-03-29,quiet_spillover,2023-05-04,-36,AAPL
AMZN,Amazon,2023-03-29,quiet_spillover,2023-05-04,-36,AAPL
NVDA,NVIDIA,2023-03-29,quiet_spillover,2023-05-04,-36,AAPL
META,Meta,2023-03-29,quiet_spillover,2023-05-04,-36,AAPL
TSLA,Tesla,2023-03-29,quiet_spillover,2023-05-04,-36,AAPL
MSFT,Microsoft,2023-03-28,quiet_spillover,2023-05-04,-37,AAPL
GOOGL,Alphabet,2023-03-28,quiet_spillover,2023-05-04,-37,AAPL
AMZN,Amazon,2023-03-28,quiet_spillover,2023-05-04,-37,AAPL
NVDA,NVIDIA,2023-03-28,quiet_spillover,2023-05-04,-37,AAPL
META,Meta,2023-03-28,quiet_spillover,2023-05-04,-37,AAPL
TSLA,Tesla,2023-03-28,quiet_spillover,2023-05-04,-37,AAPL
MSFT,Microsoft,2023-02-01,sentiment_spillover,2023-02-02,-1,AAPL
GOOGL,Alphabet,2023-02-01,sentiment_spillover,2023-02-02,-1,AAPL
